2026-02-10 19:29:40 | INFO | - | - | - - | - | -ms | Logging initialized - Environment: development
2026-02-10 19:29:40 | INFO | - | - | - - | - | -ms | 🚀 Starting application...
2026-02-10 19:29:40 | INFO | - | - | - - | - | -ms | Logging initialized - Environment: development
2026-02-10 19:29:40 | INFO | - | - | - - | - | -ms | 🚀 Starting application...
2026-02-10 19:29:40 | INFO | - | - | - - | - | -ms | Logging initialized - Environment: development
2026-02-10 19:29:40 | INFO | - | - | - - | - | -ms | 🚀 Starting application...
2026-02-10 19:29:40 | INFO | - | - | - - | - | -ms | Logging initialized - Environment: development
2026-02-10 19:29:40 | INFO | - | - | - - | - | -ms | 🚀 Starting application...
2026-02-10 19:29:41 | INFO | - | - | - - | - | -ms | ✅ Database initialized
2026-02-10 19:29:41 | INFO | - | - | - - | - | -ms | ✅ Database initialized
2026-02-10 19:29:41 | INFO | - | - | - - | - | -ms | ✅ Database initialized
2026-02-10 19:29:41 | INFO | - | - | - - | - | -ms | ✅ Database initialized
2026-02-10 19:29:41 | INFO | - | - | - - | - | -ms | ✅ Redis initialized
2026-02-10 19:29:41 | INFO | - | - | - - | - | -ms | ✅ Redis initialized
2026-02-10 19:29:41 | INFO | - | - | - - | - | -ms | ✅ Redis initialized
2026-02-10 19:29:41 | INFO | - | - | - - | - | -ms | ✅ Redis initialized
2026-02-10 19:30:38 | INFO | - | - | - - | - | -ms | 🛑 Shutting down application...
2026-02-10 19:30:38 | INFO | - | - | - - | - | -ms | ✅ Redis closed
2026-02-10 19:30:38 | INFO | - | - | - - | - | -ms | ✅ Database closed
2026-02-10 19:30:38 | INFO | - | - | - - | - | -ms | 🛑 Shutting down application...
2026-02-10 19:30:38 | INFO | - | - | - - | - | -ms | ✅ Redis closed
2026-02-10 19:30:38 | INFO | - | - | - - | - | -ms | ✅ Database closed
2026-02-10 19:30:38 | INFO | - | - | - - | - | -ms | 🛑 Shutting down application...
2026-02-10 19:30:38 | INFO | - | - | - - | - | -ms | ✅ Redis closed
2026-02-10 19:30:38 | INFO | - | - | - - | - | -ms | ✅ Database closed
2026-02-10 19:30:38 | INFO | - | - | - - | - | -ms | 🛑 Shutting down application...
2026-02-10 19:30:38 | INFO | - | - | - - | - | -ms | ✅ Redis closed
2026-02-10 19:30:38 | INFO | - | - | - - | - | -ms | ✅ Database closed
2026-02-10 19:31:07 | INFO | - | - | - - | - | -ms | Logging initialized - Environment: development
2026-02-10 19:31:07 | INFO | - | - | - - | - | -ms | 🚀 Starting application...
2026-02-10 19:31:07 | INFO | - | - | - - | - | -ms | Logging initialized - Environment: development
2026-02-10 19:31:07 | INFO | - | - | - - | - | -ms | 🚀 Starting application...
2026-02-10 19:31:07 | INFO | - | - | - - | - | -ms | Logging initialized - Environment: development
2026-02-10 19:31:07 | INFO | - | - | - - | - | -ms | 🚀 Starting application...
2026-02-10 19:31:07 | INFO | - | - | - - | - | -ms | Logging initialized - Environment: development
2026-02-10 19:31:07 | INFO | - | - | - - | - | -ms | 🚀 Starting application...
2026-02-10 19:31:08 | INFO | - | - | - - | - | -ms | ✅ Database initialized
2026-02-10 19:31:08 | INFO | - | - | - - | - | -ms | ✅ Redis initialized
2026-02-10 19:31:08 | INFO | - | - | - - | - | -ms | ✅ Database initialized
2026-02-10 19:31:08 | INFO | - | - | - - | - | -ms | ✅ Redis initialized
2026-02-10 19:31:08 | INFO | - | - | - - | - | -ms | ✅ Database initialized
2026-02-10 19:31:08 | INFO | - | - | - - | - | -ms | ✅ Redis initialized
2026-02-10 19:31:08 | INFO | - | - | - - | - | -ms | ✅ Database initialized
2026-02-10 19:31:08 | INFO | - | - | - - | - | -ms | ✅ Redis initialized
2026-02-10 19:31:24 | INFO | 49163103-c0f7-46ed-a8bf-93aa785eac72 | anonymous | OPTIONS /api/v1/auth/login | 200 | 0.11ms | OPTIONS /api/v1/auth/login - 200 - 0.11ms
2026-02-10 19:31:24 | ERROR | unknown | anonymous | POST /api/v1/auth/login | - | -ms | Unhandled exception: TypeError: an integer is required
2026-02-10 19:33:14 | INFO | - | - | - - | - | -ms | 🛑 Shutting down application...
2026-02-10 19:33:14 | INFO | - | - | - - | - | -ms | ✅ Redis closed
2026-02-10 19:33:14 | INFO | - | - | - - | - | -ms | ✅ Database closed
2026-02-10 19:33:14 | INFO | - | - | - - | - | -ms | 🛑 Shutting down application...
2026-02-10 19:33:14 | INFO | - | - | - - | - | -ms | ✅ Redis closed
2026-02-10 19:33:14 | INFO | - | - | - - | - | -ms | ✅ Database closed
2026-02-10 19:33:47 | INFO | - | - | - - | - | -ms | Logging initialized - Environment: development
2026-02-10 19:33:47 | INFO | - | - | - - | - | -ms | 🚀 Starting application...
2026-02-10 19:33:47 | INFO | - | - | - - | - | -ms | Logging initialized - Environment: development
2026-02-10 19:33:47 | INFO | - | - | - - | - | -ms | 🚀 Starting application...
2026-02-10 19:33:47 | INFO | - | - | - - | - | -ms | Logging initialized - Environment: development
